sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
228,0.078,0.048,0.12,0.042,0.006,0.018,0.0
229,0.078,0.06,0.084,0.036,0.0,0.012,0.006
230,0.072,0.084,0.072,0.042,0.0,0.012,0.0
231,0.072,0.048,0.066,0.036,0.0,0.012,0.006
232,0.072,0.042,0.072,0.036,0.006,0.006,0.006
233,0.066,0.042,0.078,0.036,0.0,0.012,0.006
234,0.066,0.042,0.072,0.042,0.0,0.006,0.0
235,0.06,0.048,0.102,0.03,0.0,0.006,0.0
236,0.078,0.06,0.078,0.036,0.0,0.012,0.006
237,0.072,0.054,0.084,0.042,0.0,0.012,0.006
238,0.09,0.078,0.066,0.042,0.0,0.006,0.0
239,0.06,0.078,0.078,0.03,0.0,0.006,0.006
240,0.078,0.066,0.06,0.036,0.0,0.012,0.006
241,0.066,0.06,0.06,0.036,0.0,0.012,0.006
242,0.066,0.06,0.078,0.036,0.0,0.012,0.006
243,0.066,0.072,0.06,0.048,0.0,0.006,0.006
244,0.084,0.054,0.06,0.036,0.006,0.006,0.0
245,0.108,0.06,0.06,0.036,0.0,0.0,0.0
246,0.096,0.066,0.066,0.042,0.0,0.006,0.0
247,0.096,0.054,0.078,0.036,0.0,0.012,0.006
248,0.09,0.078,0.108,0.042,0.0,0.006,0.006
249,0.108,0.072,0.126,0.048,0.0,0.006,0.006
250,0.096,0.054,0.066,0.036,0.0,0.006,0.006
251,0.096,0.06,0.06,0.042,0.0,0.006,0.006
252,0.084,0.054,0.06,0.042,0.0,0.006,0.006
253,0.126,0.078,0.078,0.042,0.006,0.006,0.0
254,0.09,0.06,0.072,0.048,0.0,0.006,0.0
255,0.084,0.06,0.072,0.036,0.0,0.006,0.0
256,0.084,0.06,0.078,0.042,0.0,0.006,0.0
257,0.084,0.06,0.072,0.042,0.0,0.0,0.0
258,0.096,0.066,0.072,0.042,0.0,0.0,0.0
259,0.102,0.048,0.078,0.042,0.0,0.0,0.0
260,0.114,0.054,0.066,0.042,0.0,0.006,0.0
261,0.102,0.048,0.084,0.048,0.0,0.006,0.0
262,0.084,0.048,0.066,0.042,0.0,0.006,0.0
263,0.084,0.054,0.102,0.054,0.0,0.0,0.0
264,0.084,0.06,0.078,0.042,0.0,0.006,0.0
265,0.084,0.072,0.078,0.054,0.0,0.006,0.0
266,0.09,0.048,0.072,0.042,0.0,0.006,0.0
267,0.084,0.054,0.096,0.036,0.0,0.006,0.0
268,0.084,0.048,0.072,0.042,0.0,0.0,0.0
269,0.108,0.048,0.078,0.042,0.0,0.006,0.0
270,0.09,0.06,0.096,0.042,0.0,0.006,0.0
271,0.084,0.072,0.066,0.054,0.0,0.006,0.0
272,0.084,0.06,0.066,0.042,0.0,0.0,0.0
273,0.12,0.054,0.096,0.042,0.0,0.006,0.0
274,0.114,0.054,0.084,0.042,0.0,0.006,0.0
275,0.102,0.048,0.078,0.042,0.0,0.006,0.0
276,0.084,0.048,0.066,0.042,0.0,0.0,0.0
277,0.114,0.054,0.096,0.042,0.0,0.0,0.0
278,0.09,0.054,0.096,0.042,0.0,0.006,0.0
279,0.084,0.048,0.084,0.042,0.0,0.0,0.0
280,0.084,0.048,0.096,0.042,0.0,0.006,0.0
281,0.084,0.048,0.072,0.042,0.0,0.006,0.0
282,0.102,0.048,0.066,0.042,0.0,0.0,0.0
283,0.084,0.054,0.072,0.048,0.0,0.006,0.0
284,0.084,0.066,0.072,0.042,0.0,0.0,0.0
285,0.096,0.048,0.066,0.042,0.0,0.006,0.0
