sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
250,0.084,0.0,0.006,0.078,0.006,0.0,0.0
251,0.06,0.006,0.012,0.072,0.006,0.0,0.006
252,0.114,0.006,0.012,0.084,0.006,0.0,0.0
253,0.078,0.012,0.006,0.084,0.006,0.0,0.0
254,0.066,0.006,0.006,0.12,0.006,0.0,0.006
255,0.072,0.018,0.006,0.108,0.006,0.0,0.0
256,0.072,0.018,0.012,0.108,0.006,0.0,0.006
257,0.066,0.018,0.012,0.084,0.006,0.0,0.0
258,0.06,0.024,0.012,0.084,0.006,0.0,0.006
259,0.054,0.018,0.012,0.084,0.006,0.0,0.006
260,0.06,0.018,0.012,0.108,0.006,0.0,0.006
261,0.072,0.012,0.006,0.12,0.006,0.0,0.006
262,0.054,0.012,0.012,0.108,0.006,0.0,0.006
263,0.048,0.012,0.012,0.078,0.0,0.0,0.006
264,0.054,0.006,0.012,0.096,0.006,0.0,0.0
265,0.054,0.006,0.012,0.114,0.006,0.0,0.006
266,0.048,0.006,0.012,0.114,0.006,0.0,0.0
267,0.048,0.006,0.012,0.114,0.006,0.0,0.006
268,0.054,0.012,0.006,0.102,0.006,0.0,0.006
269,0.054,0.012,0.012,0.108,0.006,0.0,0.0
270,0.042,0.012,0.006,0.09,0.006,0.0,0.006
271,0.054,0.018,0.012,0.096,0.0,0.0,0.006
272,0.048,0.018,0.006,0.084,0.0,0.0,0.006
273,0.048,0.018,0.006,0.084,0.0,0.0,0.0
274,0.048,0.018,0.006,0.078,0.006,0.0,0.0
275,0.042,0.018,0.006,0.108,0.0,0.0,0.0
276,0.042,0.018,0.006,0.078,0.0,0.0,0.0
277,0.048,0.018,0.006,0.096,0.006,0.0,0.006
278,0.054,0.024,0.006,0.108,0.006,0.0,0.0
279,0.072,0.012,0.006,0.078,0.0,0.0,0.0
280,0.06,0.012,0.006,0.078,0.0,0.0,0.0
281,0.054,0.012,0.0,0.114,0.0,0.0,0.0
282,0.054,0.012,0.006,0.078,0.0,0.0,0.0
283,0.054,0.018,0.006,0.078,0.0,0.0,0.0
284,0.06,0.012,0.006,0.084,0.006,0.0,0.0
285,0.066,0.018,0.006,0.078,0.0,0.0,0.0
286,0.054,0.018,0.006,0.096,0.0,0.0,0.0
287,0.06,0.018,0.006,0.084,0.006,0.0,0.0
288,0.066,0.012,0.006,0.084,0.006,0.0,0.0
289,0.036,0.006,0.006,0.078,0.006,0.0,0.0
290,0.036,0.006,0.006,0.084,0.006,0.0,0.0
291,0.042,0.012,0.006,0.078,0.006,0.0,0.0
292,0.042,0.012,0.006,0.096,0.006,0.0,0.0
293,0.042,0.012,0.006,0.078,0.006,0.0,0.0
294,0.054,0.012,0.006,0.114,0.006,0.0,0.0
295,0.042,0.012,0.006,0.108,0.006,0.0,0.0
296,0.042,0.012,0.006,0.084,0.006,0.0,0.0
297,0.054,0.012,0.006,0.108,0.006,0.0,0.0
298,0.036,0.012,0.006,0.078,0.006,0.0,0.0
299,0.036,0.012,0.012,0.078,0.0,0.0,0.0
300,0.03,0.012,0.006,0.078,0.0,0.0,0.0
301,0.042,0.012,0.006,0.078,0.006,0.0,0.0
302,0.036,0.012,0.006,0.096,0.006,0.0,0.0
303,0.036,0.012,0.006,0.108,0.006,0.0,0.0
304,0.036,0.012,0.006,0.108,0.006,0.0,0.0
305,0.036,0.006,0.006,0.078,0.006,0.0,0.0
306,0.042,0.012,0.006,0.096,0.006,0.006,0.0
307,0.042,0.012,0.006,0.078,0.006,0.0,0.0
308,0.036,0.012,0.006,0.102,0.0,0.0,0.0
309,0.042,0.012,0.006,0.078,0.006,0.0,0.0
310,0.042,0.012,0.006,0.114,0.0,0.0,0.0
311,0.042,0.006,0.006,0.078,0.006,0.0,0.0
312,0.042,0.012,0.006,0.078,0.006,0.0,0.0
313,0.042,0.006,0.006,0.102,0.006,0.0,0.0
314,0.042,0.012,0.0,0.078,0.0,0.0,0.0
315,0.036,0.012,0.006,0.078,0.006,0.0,0.0
316,0.036,0.012,0.006,0.084,0.006,0.0,0.0
317,0.042,0.012,0.006,0.102,0.0,0.0,0.0
318,0.036,0.012,0.012,0.078,0.006,0.0,0.0
319,0.036,0.006,0.006,0.084,0.006,0.0,0.0
320,0.042,0.012,0.006,0.078,0.0,0.0,0.0
321,0.042,0.006,0.006,0.084,0.0,0.0,0.0
322,0.042,0.012,0.012,0.078,0.0,0.0,0.0
323,0.054,0.006,0.006,0.12,0.0,0.0,0.0
